HUC_ID,Test MSE,Test KGE,Ephemeral,Predominant_Snow,color_snow_type
170103020101,0.0020728931995108004,0.8937452607553613,0.0,Montane Forest,orange
170103020102,0.001534721115604,0.9366536654320197,0.0,Montane Forest,orange
170103020103,0.00217215402517465,0.9105589246810152,0.0,Montane Forest,orange
170103020201,0.0032486827112734,0.8433413852289058,0.0,Montane Forest,orange
170103020202,0.0012109453091397001,0.8531086506701606,12.0,Montane Forest,orange
170103020301,0.0008489639149047,0.9108873827279522,0.0,Montane Forest,orange
170103020302,0.00310563831590115,0.9152971131410705,17.0,Montane Forest,orange
170103020303,0.00059084992972195,0.9004348637022819,22.0,Montane Forest,orange
170103040101,0.0125574134290218,0.7421685325377791,0.0,Montane Forest,orange
170103040102,0.0027839506510645,0.95503383319921,0.0,Montane Forest,orange
170103040103,0.0019009083043783,0.9394590215240962,0.0,Montane Forest,orange
170103040104,0.0016882515046745,0.9718320274795808,0.0,Montane Forest,orange
170103040105,0.0026308654341846,0.9322784633398984,0.0,Montane Forest,orange
170103040201,0.0033719034399837,0.8878195066433789,0.0,Montane Forest,orange
170103040202,0.0015203785151243,0.9419613772991926,0.0,Montane Forest,orange
170103040203,0.0036981224548071,0.8349549580062328,0.0,Montane Forest,orange
170103040301,0.0027601174078881,0.8948561138112544,0.0,Montane Forest,orange
170103040302,0.0019415772985666,0.7783622482366889,0.0,Montane Forest,orange
170103040303,0.0013910034904256,0.9202099059313432,0.0,Montane Forest,orange
170103040304,0.0027574079576879,0.864968555056523,0.0,Montane Forest,orange
170103040305,0.001306522055529,0.942083644168099,0.0,Montane Forest,orange
170103040306,0.0011634223628789,0.943697256889172,0.0,Montane Forest,orange
170103040307,0.0013772890670225,0.8353823573702261,0.0,Montane Forest,orange
170103040308,0.0007385756471194,0.9473409685730544,0.0,Montane Forest,orange
170103040401,0.0046295458450913,0.6833928122354422,0.0,Montane Forest,orange
170103040402,0.0015431982465088,0.8988684248445789,0.0,Montane Forest,orange
170103040501,0.0038811536505818,0.9581777594219408,0.0,Montane Forest,orange
170103040502,0.0021165888756513,0.916540897291267,0.0,Montane Forest,orange
170103040503,0.0025727248284965,0.8531514911328422,0.0,Montane Forest,orange
170103040504,0.0012142984196543,0.9489312190248022,0.0,Montane Forest,orange
170103040505,0.0038997938390821,0.8360024262667393,17.0,Montane Forest,orange
170103040601,0.001391481491737,0.7297861018936129,0.0,Montane Forest,orange
